iter	MultiClass
0	1.344703092
1	1.108154292
2	1.001773387
3	0.9101769458
4	0.8565526539
5	0.7817392228
6	0.7378829574
7	0.7069833252
8	0.6877286539
9	0.6677622684
10	0.6546011281
11	0.6445257178
12	0.628841528
13	0.617717898
14	0.6090679799
15	0.5875316382
16	0.5663087909
17	0.5462258868
18	0.5334917208
19	0.5317187019
20	0.5174539991
21	0.5104826183
22	0.5037415929
23	0.5017536114
24	0.4901987399
25	0.489641126
26	0.4870509179
27	0.4851524248
28	0.4844069663
29	0.4835059973
30	0.4759226822
31	0.4666542876
32	0.464894099
33	0.4626752033
34	0.461678062
35	0.4609788027
36	0.4604525376
37	0.4596627761
38	0.4586471183
39	0.4579316971
40	0.4574156944
41	0.4535989212
42	0.4531145102
43	0.4525019852
44	0.4500107078
45	0.4493028008
46	0.4487450232
47	0.4468323851
48	0.4463316696
49	0.4445935272
50	0.4424442154
51	0.4417079998
52	0.4410453145
53	0.4385997993
54	0.4381761891
55	0.4374848704
56	0.4348146099
57	0.4344357772
58	0.4339095925
59	0.4323315309
60	0.4319831928
61	0.4314449113
62	0.4310941439
63	0.4306643166
64	0.4299170148
65	0.4260306412
66	0.4217476111
67	0.4211063645
68	0.4207168143
69	0.4173604093
70	0.4169806468
71	0.4166771443
72	0.4163539259
73	0.4159465769
74	0.4154494499
75	0.4148339371
76	0.4145559931
77	0.414228131
78	0.4097315703
79	0.4092428339
80	0.4088782291
81	0.4060322893
82	0.4055635396
83	0.4052085495
84	0.4028483169
85	0.4025285248
86	0.4006943782
87	0.4002647049
88	0.3997690032
89	0.3993665412
90	0.3988781043
91	0.3981975837
92	0.3977196886
93	0.3971965165
94	0.3965427481
95	0.3959870966
96	0.3956066786
97	0.3953014066
98	0.394886466
99	0.3928659721
