iter	Passed	Remaining
0	145	14427
1	311	15275
2	478	15485
3	644	15466
4	812	15429
5	973	15258
6	1137	15113
7	1297	14921
8	1459	14755
9	1643	14793
10	1817	14702
11	1973	14475
12	2142	14338
13	2308	14177
14	2469	13993
15	2632	13822
16	2795	13646
17	2964	13503
18	3128	13336
19	3287	13148
20	3447	12970
21	3610	12802
22	3769	12618
23	3948	12502
24	4117	12351
25	4276	12170
26	4433	11985
27	4591	11805
28	4750	11631
29	4915	11469
30	5075	11297
31	5252	11162
32	5414	10992
33	5592	10855
34	5761	10699
35	5920	10525
36	6080	10353
37	6245	10189
38	6404	10018
39	6566	9849
40	6727	9680
41	6925	9563
42	7091	9400
43	7249	9227
44	7412	9060
45	7570	8886
46	7796	8792
47	7955	8618
48	8113	8444
49	8281	8281
50	8439	8108
51	8616	7953
52	8775	7782
53	8936	7612
54	9130	7470
55	9295	7303
56	9460	7136
57	9636	6978
58	9806	6814
59	9985	6656
60	10155	6492
61	10320	6325
62	10492	6162
63	10672	6003
64	10862	5849
65	11035	5684
66	11199	5516
67	11358	5345
68	11528	5179
69	11697	5013
70	11864	4846
71	12040	4682
72	12216	4518
73	12385	4351
74	12550	4183
75	12711	4014
76	12872	3845
77	13036	3676
78	13228	3516
79	13388	3347
80	13543	3176
81	13702	3007
82	13860	2838
83	14023	2671
84	14181	2502
85	14337	2334
86	14496	2166
87	14654	1998
88	14828	1832
89	14987	1665
90	15147	1498
91	15306	1330
92	15462	1163
93	15621	997
94	15883	835
95	16037	668
96	16191	500
97	16348	333
98	16503	166
99	16656	0
